,title,price,link
0,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3OTI2ODQ3NzY1NTYxMjkwOjE3MjQ4NDQ0MDg6c3BfYXRmOjMwMDA4NTQwMzIxODczMjo6MDo6&url=%2FApple-MacBook-16-inch-16%25E2%2580%2591core-40%25E2%2580%2591core%2Fdp%2FB0CM5SZ7CP%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdgXUNROBVNK5LTVCuIKMZcde85G289Jga3jfVgcSNhfgcaOZ8nYqSDxQsFLZcnGfK0lsvAaU0kKTtscNQzzZ0voXuhmQF88VcES9d8FFudj4EUyfpmwmbpl_muaeMH6_3nFqmixZIYTSIaanzGvBknGDWYXlYoUpuTSoqqSCNLhqNlHhGjlwQM3a-RS1X8nUtw.0dJPNyW1m5cbhJYsmii28fe0Pok_4LqmgBvX7Yq0tAk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844408%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Samsung Galaxy Book3 Pro 360 Intel 13th Gen i5 EvoTM 40.62cm(16"") Touchscreen 2-in-1 3K Display, 120Hz, Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/S-Pen/Graphite/1.6Kg), NP960QFG-KA2IN  ","99,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3OTI2ODQ3NzY1NTYxMjkwOjE3MjQ4NDQ0MDg6c3BfYXRmOjMwMDI1MzU1ODI5MzAzMjo6MDo6&url=%2FSamsung-40-62cm-Touchscreen-Graphite-NP960QFG-KA2IN%2Fdp%2FB0BS9GGMW5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdgXUNROBVNK5LTVCuIKMZcde85G289Jga3jfVgcSNhfgcaOZ8nYqSDxQsFLZcnGfK0lsvAaU0kKTtscNQzzZ0voXuhmQF88VcES9d8FFudj4EUyfpmwmbpl_muaeMH6_3nFqmixZIYTSIaanzGvBknGDWYXlYoUpuTSoqqSCNLhqNlHhGjlwQM3a-RS1X8nUtw.0dJPNyW1m5cbhJYsmii28fe0Pok_4LqmgBvX7Yq0tAk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844408%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14â€‘core CPU and 30â€‘core GPU, 36GB Unified Memory, 1TB) - Silver  ","3,19,900",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3OTI2ODQ3NzY1NTYxMjkwOjE3MjQ4NDQ0MDg6c3BfbXRmOjMwMDA4NTQwMzIxOTczMjo6MDo6&url=%2FApple-MacBook-16-inch-14%25E2%2580%2591core-30%25E2%2580%2591core%2Fdp%2FB0CM5R9RJK%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdgXUNROBVNK5LTVCuIKMZcde85G289Jga3jfVgcSNhfgcaOZ8nYqSDxQsFLZcnGfK0lsvAaU0kKTtscNQzzZ0voXuhmQF88VcES9d8FFudj4EUyfpmwmbpl_muaeMH6_3nFqmixZIYTSIaanzGvBknGDWYXlYoUpuTSoqqSCNLhqNlHhGjlwQM3a-RS1X8nUtw.0dJPNyW1m5cbhJYsmii28fe0Pok_4LqmgBvX7Yq0tAk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844408%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VWIN  ","34,600",https://amazon.in//Lenovo-IdeaPad-39-62cm-Windows-82RK00VWIN/dp/B0CR7WG86N/ref=sr_1_77?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-77
4,"Lenovo ThinkPad P15v AMD Ryzen 7 Pro 6850H 15.6""(39.62cm) FHD (1920x1080) IPS 300 Nits Thin and Light Laptop(32GB RAM/1TB SSD/Win 11 Pro/NVIDIA T600 4GB/Backlit Keyboard/FPR/Black/2.26 kg), 21ENS0MV00  ","1,07,000",https://amazon.in//Lenovo-ThinkPad-1920x1080-Keyboard-21ENS0MV00/dp/B0D8SS7PST/ref=sr_1_78?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-78
5,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN  ","51,418",https://amazon.in//Lenovo-IdeaPad-i5-12450H-35-5cm-83EQ005VIN/dp/B0D6MPVN7B/ref=sr_1_79?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-79
6,"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue  ","18,990",https://amazon.in//Acer-Celeron-Windows-Laptop-Z8-284/dp/B0CHRNQBCR/ref=sr_1_80?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-80
7,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,1 TB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5328TU  ","39,980",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5328TU/dp/B0CYQ8DS2B/ref=sr_1_81?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-81
8,"HP Victus Gaming Laptop, AMD Ryzen 7 8845HS AI Powered, 6GB RTX 4050 GPU,15.6-inch (39.6 cm),FHD, IPS,144Hz,16GB DDR5,1TB SSD, 300 nits, Win 11,Backlit KB, DTS:X Ultra (MSO, Blue, 2.29 kg), fb2117AX  ","99,490",https://amazon.in//HP-Victus-Powered-15-6-inch-Backlit/dp/B0D7PXTNRX/ref=sr_1_82?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-82
9,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS  ","48,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ523WS/dp/B0C5N3G2MD/ref=sr_1_83?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-83
